x,y,Topic,Words,Size
5.6771345,12.477388,0,digital | discrete | digitalist | digitales | thedigitaladvantagehowdigitalleadersoutperformtheir,6246
6.5055723,10.91073,1,hey | notice | username | grin | an,4597
5.5912433,9.078192,2,transformation | transformingconstruction |  |  | ,3434
4.909352,12.363813,3,data | geodata | microdata | genomics | dataten,1691
5.420173,11.913242,4,model | metamodel | portal | metamorphosis | modelintroduction,1393
4.782487,12.551333,5,information | info |  |  | ,1334
5.320323,15.048012,6,university | universit | duke |  | ,1295
4.23139,14.297898,7,management | tqm |  |  | ,1288
7.0821576,12.513779,8,busines | businesdictionary | buso | bsqueda | busineswoman,1150
3.72721,8.369852,9,maturity | maturation | digitalmaturityconceptualizationandmeasurementmodel |  | ,1147
4.0466576,14.489461,10,organization | grupo | organizationanex | memorandum | ,998
4.8516264,13.378512,11,research | researching | researchnow |  | ,940
3.3403978,8.500423,12,new | newly |  |  | ,936
5.642722,12.407383,13,technologies |  |  |  | ,840
5.62329,12.428787,14,technology |  |  |  | ,834
4.858351,9.360267,15,development |  |  |  | ,825
2.431372,11.23956,16,use |  |  |  | ,762
5.2346067,14.66356,17,education | educating | educate |  | ,755
3.9978707,14.587841,18,organizational |  |  |  | ,729
3.9545352,9.489253,19,level | stack | tier |  | ,697
5.0994854,11.368569,20,figure |  |  |  | ,696
4.004477,11.71223,21,strategy |  |  |  | ,667
9.538431,12.712421,22,wil | wilpower |  |  | ,661
6.658387,10.95576,23,proceses | proliferate | concesion |  | ,655
4.2656617,8.486857,24,change |  |  |  | ,640
2.352224,12.825052,25,analysis | analyses | analysisconclusions | analizada | ,633
3.3594246,12.179112,26,based |  |  |  | ,612
3.4133942,13.692953,27,work | hardworking |  |  | ,594
8.439453,11.060677,28,betwen | arwen |  |  | ,582
0.89635134,13.277848,29,inovation |  |  |  | ,576
5.6103086,12.355304,30,technological | technologicaly |  |  | ,548
3.967475,10.218501,31,capabilities |  |  |  | ,547
3.6526191,14.535568,32,companies | outsourced | outsource |  | ,542
6.6314063,10.972787,33,proces | procesed | proquest | prowes | experiential,533
4.95361,13.966438,34,knowledge | knowing | knowledgeable | epistemological | epistemolgicas,529
2.5498905,13.094698,35,study | studied | studying | coursework | ,512
3.9427702,9.236767,36,higher |  |  |  | ,512
5.0061164,12.440295,37,services | microservices | geoservices | servicenow | websphere,495
5.6158223,11.552646,38,table | rows | tableau | row | oracle,493
2.4007163,13.586073,39,value | valued | valuing | valueintroduction | ,468
3.4128518,14.419151,40,industry |  |  |  | ,468
1.6836228,9.7709675,41,also |  |  |  | ,466
5.4176393,11.928362,42,models | modelers |  |  | ,458
4.0601954,11.781828,43,strategic | strategicaly | strategyand | strategics | ,455
4.011604,12.6885195,44,public | publicly | publics | openly | ,449
7.5985856,14.170465,45,national | nationwide | nationaly | domestic | ,443
2.1524584,9.027917,46,one |  |  |  | ,435
4.792759,14.760116,47,institutions |  |  |  | ,432
2.2417648,12.033667,48,results |  |  |  | ,429
7.1444154,10.854019,49,degre | dezi | cigre |  | ,427
5.4927406,12.201062,50,systems | subsystems | systematization | systematize | ,427
4.2626886,12.638191,51,culture | cultures | ethnographic | civilization | misapropriations,426
5.288795,14.838548,52,students | youths |  |  | ,416
3.695824,14.551626,53,company | shareholder | shareholders | reliance | shares,410
7.490991,7.6468463,54,suport |  |  |  | ,391
3.6995432,8.775161,55,performance | performancechapter |  |  | ,391
2.4978883,11.646057,56,review | reviewed | reviewing | criticism | reviewers,383
3.9327488,14.615676,57,organizations | consortium | voluntary | ngo | coalition,381
2.076051,10.782283,58,must |  |  |  | ,381
8.803087,11.170537,59,skils | skilset | bolstering | bolster | treadmils,368
4.733939,12.783637,60,resources |  |  |  | ,367
3.6310287,11.370769,61,future | futures |  |  | ,363
6.922788,10.151847,62,diferent | infers | infered | infer | wahrheit,362
5.1286364,14.31125,63,learning | learnings | mastering | unlearning | relearning,359
4.557328,12.244094,64,project |  |  |  | ,358
4.5215,10.173634,65,implementation | implementations |  |  | ,357
7.993991,13.678407,66,colombia | magnacolombia | columbia | venezuela | colombiarectora,349
7.9104495,11.193399,67,mtd | geared |  |  | ,348
5.6769986,11.585605,68,framework |  |  |  | ,347
2.1918974,8.329414,69,first | firstly | firsts |  | ,345
9.284482,12.637782,70,ben | trent | pei | blay | beny,341
2.9824123,8.610795,71,time | timing | timea | tuned | timestamped,336
3.9780426,9.276757,72,high | elevated |  |  | ,324
4.932896,12.573119,73,content | seo |  |  | ,322
4.2849355,8.461735,74,changes |  |  |  | ,321
5.229213,10.181447,75,design | layout | schematic |  | ,313
8.776961,10.665927,76,wel | welpe | hel | itl | ,306
7.553284,14.363225,77,world | worldview | worlds | worldcist | ,306
1.8893839,12.162728,78,characterization |  |  |  | ,298
3.4751186,14.527227,79,sector |  |  |  | ,296
5.2117825,9.610588,80,making | remaking | kniting | craft | ,296
5.1309114,13.715812,81,literature | literary | novel | fiction | dramatique,294
4.374236,11.440488,82,chapter | chapters |  |  | ,291
3.2223396,12.750393,83,related | unrelated |  |  | ,290
3.8959308,13.299864,84,group | solo | groupchapter |  | ,287
2.0566406,8.905952,85,two |  |  |  | ,283
5.834429,10.488817,86,within | withings | outwards | entrance | ensuing,281
4.3070908,12.662702,87,social | socialy | sociales |  | ,280
5.207292,14.642243,88,educational |  |  |  | ,277
6.825806,13.954799,89,area | meadows | rea |  | ,276
5.1147394,14.319517,90,training | tae | trainings | retrain | ,275
1.0154464,10.318649,91,decision |  |  |  | ,273
9.194651,12.271372,92,ned | osborne |  |  | ,269
7.4138365,9.3725605,93,aplication | prorector | antecedentes |  | ,269
2.9734383,10.946896,94,factors |  |  |  | ,268
